dataset_idx,question_id,n_hops,hop_idx,hop,template_question,model_resolved_question,gold_resolved_question,question_matches_gold_path,referenced_parent_indices,referenced_parents_benchmark_correct,gold,pred,raw_pred,label,token_f1,matched_gold,mean_logprob,min_logprob,entropy,margin,verbal_confidence,verbal_raw,generated_tokens,prompt_tokens,u_mean_logprob,u_mean_logprob_centered,u_mean_logprob_z,u_mean_logprob_minmax,u_mean_logprob_rank,u_min_logprob,u_min_logprob_centered,u_min_logprob_z,u_min_logprob_minmax,u_min_logprob_rank,u_entropy,u_entropy_centered,u_entropy_z,u_entropy_minmax,u_entropy_rank,u_margin,u_margin_centered,u_margin_z,u_margin_minmax,u_margin_rank,u_verbal,u_verbal_centered,u_verbal_z,u_verbal_minmax,u_verbal_rank
1204,3hop1__161507_160713_77246,3,0,1,What country is this landmark in?,What country is this landmark in?,What country is this landmark in?,True,,True,Pakistan,India,India,incorrect,0.0,Pakistan,-0.02123139798641205,-0.02123139798641205,0.10227926075458527,3.84375,45.0,"45

The",1,3848,0.02123139798641205,-0.045325047524040665,-1.1129683272276503,0.0,3.0,0.02123139798641205,-0.3090415398279826,-1.2513543521604977,0.0,3.0,0.10227926075458527,-0.05343739945849413,-0.7706705961493128,0.0,3.0,-3.84375,3.5319661458333336,1.0926227668170847,1.0,1.0,-45.0,-1.6666666666666643,-0.7071067811865466,0.0,2.5
1204,3hop1__161507_160713_77246,3,1,2,What was the majority religion in the area of British India that become India when #1 was created?,What was the majority religion in the area of British India that become India when India was created?,What was the majority religion in the area of British India that become India when Pakistan was created?,False,1,False,Hindu,Hinduism.,Hinduism.,incorrect,0.0,Hindu,-0.11999158672147132,-0.34387513995170593,0.2536403022881132,6.628125,45.0,"45

The",5,3860,0.11999158672147132,0.05343514121101861,1.3121137864721832,1.0,1.0,0.34387513995170593,0.013602202137311281,0.05507730401862982,0.5337534303644491,2.0,0.2536403022881132,0.09792364207503379,1.412248207806123,1.0,1.0,-6.628125,0.7475911458333337,0.2312692343249081,0.6435554444305538,2.0,-45.0,-1.6666666666666643,-0.7071067811865466,0.0,2.5
1204,3hop1__161507_160713_77246,3,2,3,what is the meaning of #2 in arabic dictionary,what is the meaning of Hinduism. in arabic dictionary,what is the meaning of Hindu in arabic dictionary,False,2,False,the country of India,Hinduism (Arabic: الإسلام) is the second-largest religion in,Hinduism (Arabic: الإسلام) is the second-largest religion in,incorrect,0.0,the country of India,-0.058446351823474796,-0.6257122755050659,0.11123041759653973,11.6552734375,40.0,"40

The",16,3854,0.058446351823474796,-0.008110093686977918,-0.1991454592445325,0.3768214126939154,2.0,0.6257122755050659,0.29543933769067127,1.1962770481418676,1.0,1.0,0.11123041759653973,-0.04448624261653966,-0.6415776116568102,0.059137785729174566,2.0,-11.6552734375,-4.279557291666666,-1.3238920011419926,0.0,3.0,-40.0,3.3333333333333357,1.4142135623730963,1.0,1.0
1206,3hop1__507961_160713_77246,3,0,1,Banna >> country,Banna >> country,Banna >> country,True,,True,Pakistan,Pakistan,Pakistan,correct,1.0,Pakistan,-1.7762025890988298e-05,-1.7762025890988298e-05,0.00021889692288823426,11.0625,50.0,"50

The",1,3935,1.7762025890988298e-05,-0.09484084096306826,-1.401884747045412,0.0,3.0,1.7762025890988298e-05,-0.3642307123603435,-1.3890021854526904,0.0,3.0,0.00021889692288823426,-0.21258339439103224,-1.2817411469033075,0.0,3.0,-11.0625,-3.264973958333333,-1.1607847798531121,0.0,3.0,-50.0,-3.3333333333333357,-0.707106781186548,0.0,2.5
1206,3hop1__507961_160713_77246,3,1,2,What was the majority religion in the area of British India that become India when #1 was created?,What was the majority religion in the area of British India that become India when Pakistan was created?,What was the majority religion in the area of British India that become India when Pakistan was created?,True,1,True,Hindu,Hindu.,Hindu.,correct,1.0,Hindu,-0.15319589745169537,-0.6067351698875427,0.23325617113005137,8.1328125,50.0,"50

The",4,3949,0.15319589745169537,0.058337294462736125,0.8623095542041128,1.0,1.0,0.6067351698875427,0.24248669550130825,0.9247285815406425,1.0,1.0,0.23325617113005137,0.020453879816130893,0.12332374054544666,0.5758088488024454,2.0,-8.1328125,-0.33528645833333304,-0.11920322265689975,0.4267425320056899,2.0,-50.0,-3.3333333333333357,-0.707106781186548,0.0,2.5
1206,3hop1__507961_160713_77246,3,2,3,what is the meaning of #2 in arabic dictionary,what is the meaning of Hindu. in arabic dictionary,what is the meaning of Hindu in arabic dictionary,True,2,True,the country of India,Hindu (الهندو) is a term used in Arabic dictionaries,Hindu (الهندو) is a term used in Arabic dictionaries,incorrect,0.0,the country of India,-0.13136214948929137,-0.4859924912452698,0.4049318058888218,4.197265625,40.0,"40

The",16,3942,0.13136214948929137,0.03650354650033212,0.5395751928412991,0.8574617199660345,2.0,0.4859924912452698,0.1217440168590353,0.464273603912048,0.8009902516761055,2.0,0.4049318058888218,0.19212951457490135,1.1584174063578607,1.0,1.0,-4.197265625,3.600260416666667,1.2799880025100123,1.0,1.0,-40.0,6.666666666666664,1.4142135623730945,1.0,1.0
1209,3hop1__604797_443779_52195,3,0,1,Alabio >> country,Alabio >> country,Alabio >> country,True,,True,Indonesia,Alabio,Alabio,incorrect,0.0,Indonesia,-0.00014182887389324605,-0.00042548662167973816,0.0013137366243090771,16.197916666666668,40.0,"40

The",3,3293,0.00014182887389324605,-0.03561822172465933,-0.7110521899888363,0.0,3.0,0.00042548662167973816,-0.11063296153830986,-0.7081554815844878,0.0,3.0,0.0013137366243090771,-0.07500281037917647,-0.7244505873434103,0.0,3.0,-16.197916666666668,-4.737152777777778,-1.3599602330146807,0.0,3.0,-40.0,0.0,0.0,0.0,2.0
1209,3hop1__604797_443779_52195,3,1,2,#1 –Timor Leste Commission of Truth and Friendship >> country,Alabio –Timor Leste Commission of Truth and Friendship >> country,Indonesia –Timor Leste Commission of Truth and Friendship >> country,False,1,False,East Timor,Indonesia,Indonesia,incorrect,0.0,East Timor,-0.0005374661413952708,-0.0007532381569035351,0.00491976912599057,7.921875,40.0,"40

The",2,3303,0.0005374661413952708,-0.035222584457157306,-0.7031540206845628,0.003716333647622551,2.0,0.0007532381569035351,-0.11030521000308606,-0.7060575620943177,0.000988480306411383,2.0,0.00491976912599057,-0.07139677787749497,-0.6896199943214202,0.016287233218337995,2.0,-7.921875,3.5388888888888896,1.0159579780756158,1.0,1.0,-40.0,0.0,0.0,0.0,2.0
1209,3hop1__604797_443779_52195,3,2,3,who is the president of newly declared independent country #2,who is the president of newly declared independent country Indonesia,who is the president of newly declared independent country East Timor,False,2,False,Francisco Guterres,Francisco Guterres,Francisco Guterres,correct,1.0,Francisco Guterres,-0.10660085678036921,-0.3319966197013855,0.222716135260157,10.2625,40.0,40,5,3298,0.10660085678036921,0.07084080618181662,1.4142062106733988,1.0,1.0,0.3319966197013855,0.2209381715413959,1.4142130436788052,1.0,1.0,0.222716135260157,0.14639958825667143,1.4140705816648305,1.0,1.0,-10.2625,1.1982638888888903,0.34400225493906533,0.7171806167400883,2.0,-40.0,0.0,0.0,0.0,2.0
1211,3hop1__498954_160713_77246,3,0,1,Mandeer >> country,Mandeer >> country,Mandeer >> country,True,,True,Pakistan,Pakistan,Pakistan,correct,1.0,Pakistan,-1.156323378381785e-05,-1.156323378381785e-05,0.0001526141568319872,11.9375,40.0,"40

The",1,3598,1.156323378381785e-05,-0.013028660922846788,-0.7166843110754866,0.0,3.0,1.156323378381785e-05,-0.03909400948153537,-0.7168366908343948,0.0,3.0,0.0001526141568319872,-0.03944937730102538,-0.7349881971270337,0.0,3.0,-11.9375,-0.8645833333333339,-0.811984343040364,0.0,3.0,-40.0,1.6666666666666643,0.7071067811865466,1.0,1.5
